title,author_name,author_url,publication_date,description,category,image_url,url,countries,content_preview,extractor,lang,content,source
La plainte de l’Algérie contre la députée européenne Sarah Knafo a été classée sans suite,,,3 oct. 2024,"Le parquet de Paris a annoncé avoir classé la plainte formulée par Alger après les propos de la parlementaire d’extrême-droite, car il ne s’agissait pas d’un mensonge, mais « d’une information insuffisamment vérifiée et plutôt imprécise ».",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/03/afp__20240907__36ft4dt__v1__highres__francepoliticsreconquete.jpg",https://www.jeuneafrique.com/1616510/politique/la-plainte-de-lalgerie-contre-la-deputee-europeenne-sarah-knafo-a-ete-classee-sans-suite/,Algérie,,jeuneafrique,fr,,
"Gazoduc transsaharien : face à la concurrence du Maroc, l’Algérie tente de relancer son « projet stratégique »",,,30 sept. 2024,"À l’heure où Rabat s’apprête à annoncer une décision budgétaire concernant le Nigeria-Maroc Gas Pipeline (NMGP), Alger entend réactiver les réunions tripartites avec Niamey et Abuja autour de son propre mégachantier gazier.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/30/jad-20240930-mmo-algerie-petrole-et-gaz.jpg",https://www.jeuneafrique.com/1615033/economie-entreprises/gazoduc-transsaharien-face-a-la-concurrence-du-maroc-lalgerie-tente-de-relancer-son-projet-strategique/,Algérie,,jeuneafrique,fr,,
Algérie-Maroc : et maintenant la guerre des visas,,,27 sept. 2024,"Le ministère algérien des Affaires étrangères a décidé d’imposer un visa d’entrée aux ressortissants marocains, accusés de « trafic de drogue » et d’ « espionnage ». Surprenante, cette mesure est toutefois loin d’être une première dans l’histoire des relations entre les deux pays.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/27/jad-20240927-mmo-algerie-politique-frontiere-visa.jpg",https://www.jeuneafrique.com/1614245/politique/algerie-maroc-et-maintenant-la-guerre-des-visas/,Algérie,,jeuneafrique,fr,,
"Algérie : qui est le général Rochdi Fethi Moussaoui, nouveau patron des renseignements extérieurs ?",,,27 sept. 2024,"Nommé ce mercredi 25 septembre en remplacement du général-major M’henna Djebbar à la tête de la DGDSE, le général de 47 ans, fils d’une figure de la révolution algérienne, est un pur produit de la maison. Passé par Berlin et Paris, il cultive une image de discrétion parfaitement adaptée à ses fonctions.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/26/jad-20240926-mmo-algerie-securite-nomination.jpg",https://www.jeuneafrique.com/1614069/politique/algerie-qui-est-le-general-rochdi-fethi-moussaoui-nouveau-patron-des-renseignements-exterieurs/,Algérie,,jeuneafrique,fr,,
"L’Algérie porte plainte contre Sarah Knafo, compagne de Zemmour, pour fake news",,,25 sept. 2024,L’État algérien a décidé de déposer une plainte à Paris contre l’eurodéputée d’extrême droite pour propagation de fausses informations sur le montant des aides au développement accordées par la France à l’Algérie. ,,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/25/jad20240925-mmo-algerie-plainte-sarahknafo.jpg",https://www.jeuneafrique.com/1613522/politique/algerie-france-alger-porte-plainte-contre-sarah-knafo-compagne-de-zemmour-pour-fake-news/,Algérie,,jeuneafrique,fr,,
Financement du football algérien : la crainte d’un championnat à deux vitesses,,,25 sept. 2024,"Huit des seize clubs qui composent la Ligue 1 algérienne sont détenus par de grosses sociétés, la plupart étatiques, et disposent donc de moyens conséquents. Pour davantage d’équité, de nombreux acteurs du football local voudraient que tous les clubs bénéficient d’une assise financière équivalente et en appellent à l’État.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/24/jad-20240924-mmo-algerie-sport-financement-foot.jpg",https://www.jeuneafrique.com/1612407/societe/financement-du-football-algerien-la-crainte-dun-championnat-a-deux-vitesses/,Algérie,,jeuneafrique,fr,,
Macron favorable à la reconnaissance de la responsabilité de la France dans l’assassinat de Larbi Ben M’Hidi,,,24 sept. 2024,"Officiellement mort par suicide, Larbi Ben M’Hidi, chef de la zone couvrant la capitale au moment de la bataille d’Alger, a été détenu pendant neuf jours avant d’être pendu dans la nuit du 3 au 4 mars 1957. Cinq historiens de la commission qui travaille sur la mémoire de la colonisation française en Algérie, reçus à Élysée, ont détaillé les circonstances de sa mort au président de la République, en vue d’une reconnaissance officielle du rôle de la France.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/24/jad-20240924-mmo-algerie-histoire-ben-mhidi.jpg",https://www.jeuneafrique.com/1612541/politique/macron-favorable-a-la-reconnaissance-de-la-responsabilite-de-la-france-dans-lassassinat-de-larbi-ben-mhidi/,Algérie,,jeuneafrique,fr,,
Algérie : la justice française statuera le 9 octobre sur l’extradition de l’ancien ministre Abdeslam Bouchouareb,,,20 sept. 2024,"Figure de l’entourage de l’ancien président Abdelaziz Bouteflika, l’ancien ministre qui réside dans le sud de la France a été condamné à de lourdes peines en Algérie. Ses avocats mettent en avant la sévérité des sentences pour demander le refus de son extradition.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.6902x0.4435/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/20/jad20240920-mmo-justice-algerie-france-extradition.jpg",https://www.jeuneafrique.com/1611510/politique/algerie-la-justice-francaise-statuera-le-9-octobre-sur-lextradition-de-lancien-ministre-abdeslam-bouchouareb/,Algérie,,jeuneafrique,fr,,
"À Washington, l’Algérie signe avec une société de lobbying… liée à Israël",,,19 sept. 2024,"Le gouvernement algérien vient de signer, via son ambassadeur à Washington, un contrat de lobbying avec une firme américaine. Une pratique classique dans la diplomatie, à ceci près que l’entreprise retenue entretient de nombreux liens avec Israël. Ce qui ne peut qu’étonner, compte tenu des positions algériennes sur la situation en Palestine.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/19/jad20240919-mmo-algerie-lobbying-israel-1.jpg",https://www.jeuneafrique.com/1610958/politique/a-washington-lalgerie-signe-avec-une-societe-de-lobbying-liee-a-israel/,Algérie,,jeuneafrique,fr,,
"Yasmina Khadra : « La Tunisie, l’Algérie et le Maroc sont un même peuple »",,,19 sept. 2024,"Dans son nouveau roman, l’écrivain algérien exalte la notion du vivre ensemble, malgré nos différences. Ses réponses aux questions politiques vont dans le même sens.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.3751x0.3618/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/18/jad20240918-culture-yasmina-khadra.jpg",https://www.jeuneafrique.com/1609275/culture/yasmina-khadra-la-tunisie-lalgerie-et-le-maroc-sont-un-meme-peuple/,Algérie,,jeuneafrique,fr,,
