title,author_name,author_url,publication_date,description,category,image_url,url,country,content_preview,extractor,lang,content,source
Bénin-lutte contre le changement climatique: 25 communes bénéficient du « Fonds vert pour le climat »,Aya N'goran,https://beninwebtv.com/author/aya/,11 octobre 2024,"Le mardi 8 octobre 2024, au Golden Tulip de Cotonou, le Ministre du Cadre de Vie et des Transports, chargé du Développement Durable, José...",Environnement,https://i0.wp.com/beninwebtv.com/wp-content/uploads/2024/10/Comunes-aynat-recu-le-fonds-vert-pour-le-climat.webp?resize=696%2C465&ssl=1,https://beninwebtv.com/benin-lutte-contre-le-changement-climatique-25-communes-beneficient-du-fonds-vert-pour-le-climat/,Bénin,,beninwebtv,fr,,
CAN 2025 (Q): Où suivre le match Bénin – Rwanda en direct ?,Leandro Zomassi,https://beninwebtv.com/author/libence/,11 octobre 2024,"Le match de la troisième journée du groupe D des éliminatoires de la CAN 2025, opposant le Bénin au Rwanda, sera à suivre sur...",Afrique – Sport,https://i0.wp.com/beninwebtv.com/wp-content/uploads/2024/09/images-_1_.webp?resize=696%2C453&ssl=1,https://beninwebtv.com/can-2025-q-ou-suivre-le-match-benin-rwanda-en-direct/,Bénin,,beninwebtv,fr,,
"CAN 2025 (Q): le Bénin affronte le Rwanda ce vendredi, le programme complet",Leandro Zomassi,https://beninwebtv.com/author/libence/,11 octobre 2024,"Ce vendredi 11 octobre, plusieurs matchs importants comptant pour la troisième journée des éliminatoires de la CAN 2025 ont lieu, avec notamment la confrontation...",Afrique – Sport,https://i0.wp.com/beninwebtv.com/wp-content/uploads/2024/06/mounie.webp?resize=696%2C457&ssl=1,https://beninwebtv.com/can-2025-q-le-benin-affronte-le-rwanda-ce-vendredi-le-programme-complet/,Bénin,,beninwebtv,fr,,
"Bénin: dégradation du pont de Wessi à Tchaourou, suite à une forte pluie",Aya N'goran,https://beninwebtv.com/author/aya/,11 octobre 2024,Les usagers de la route reliant Parakou à Djougou pourraient se voir interdire l'accès à ce tronçon en raison de la dégradation d'un ouvrage...,Société,https://i0.wp.com/beninwebtv.com/wp-content/uploads/2024/10/Pont-degrade-de-Wessi.webp?resize=696%2C521&ssl=1,https://beninwebtv.com/benin-degradation-du-pont-de-wessi-a-tchaourou-suite-a-une-forte-pluie/,Bénin,,beninwebtv,fr,,
"BAD : le Bénin offre 1,20 milliard de FCFA au Fonds africain de développement",Ousmane Traoré Samba,https://beninwebtv.com/author/2250143010806/,11 octobre 2024,"Cotonou abrite depuis le mardi 8 octobre 2024, la 16ème « Revue à mi-parcours du Fonds africain de développement ». Réunis dans la ville économique du Bénin...",Economie,https://i0.wp.com/beninwebtv.com/wp-content/uploads/2024/10/President-du-Groupe-de-la-Banque-africaine-de-developpement-et-president-des-Conseils-dadministration-Akinwumi-Adesina.webp?resize=696%2C464&ssl=1,https://beninwebtv.com/bad-le-benin-offre-120-milliard-de-fcfa-au-fonds-africain-de-developpement/,Bénin,,beninwebtv,fr,,
Bénin-démantèlement d’un réseau de vol et de recel de motos: 04 personnes interpellées à Djougou,Aya N'goran,https://beninwebtv.com/author/aya/,11 octobre 2024,La recrudescence des vols de motos sur son territoire a conduit le commissariat du 3ème arrondissement de Djougou à ouvrir une enquête. Grâce à l'efficacité...,Société,https://i0.wp.com/beninwebtv.com/wp-content/uploads/2023/03/Vehicule-de-la-police-republicaine-1.jpg?resize=696%2C397&ssl=1,https://beninwebtv.com/benin-demantelement-dun-reseau-de-vol-et-de-recel-de-motos-04-personnes-interpellees-a-djougou/,Bénin,,beninwebtv,fr,,
Bénin: le journaliste Eric Sounouvi inhumé le samedi prochain,Edouard Djogbénou,https://beninwebtv.com/author/edouard/,11 octobre 2024,"Décédé le 25 juin dernier en Allemagne à l'âge de 49 ans, les obsèques du journaliste béninois Éric Sounouvi auront lieu le samedi 12...",Société,https://i0.wp.com/beninwebtv.com/wp-content/uploads/2021/07/candle-2038736-1280.jpg?resize=696%2C464&ssl=1,https://beninwebtv.com/benin-le-journaliste-eric-sounouvi-inhume-le-samedi-prochain/,Bénin,,beninwebtv,fr,,
Bénin: Djogbénou et Bio Tchané renforcent davantage l’axe UPR-BR,Edouard Djogbénou,https://beninwebtv.com/author/edouard/,11 octobre 2024,Les deux grands blocs politiques de la mouvance à savoir le parti Union progressiste le renouveau et le parti Bloc Républicain ont scellé un...,Politique,https://i0.wp.com/beninwebtv.com/wp-content/uploads/2023/05/Joseph-Djogbenou-et-Abdoulaye-Bio-Tchane-1.jpg?resize=696%2C374&ssl=1,https://beninwebtv.com/benin-djogbenou-et-bio-tchane-renforcent-davantage-laxe-upr-br/,Bénin,,beninwebtv,fr,,
Bénin: le Syntrasesh en tête des résultats des élections professionnelles au MS,Edouard Djogbénou,https://beninwebtv.com/author/edouard/,11 octobre 2024,"Les grandes tendances des élections professionnelles au ministère de la Santé (MS) sont désormais accessibles. D'après ces premières tendances, le Syndicat National des...",Société,https://i0.wp.com/beninwebtv.com/wp-content/uploads/2021/05/Pr-Benjamin-HOUNKPATIN.jpg?resize=696%2C392&ssl=1,https://beninwebtv.com/benin-le-syntrasesh-en-tete-des-resultats-des-elections-professionnelles-au-ms/,Bénin,,beninwebtv,fr,,
"Bénin: 7 individus, présumés membres d’un réseau de vol de motos arrêtés à Ouidah",Edouard Djogbénou,https://beninwebtv.com/author/edouard/,11 octobre 2024,Le commissariat du 4è arrondissement de Ouidah a mené une opération réussie le 08 Octobre 2024 contre un réseau de vol de motos. L'opération...,Société,https://i0.wp.com/beninwebtv.com/wp-content/uploads/2021/05/Police-republicaine-2.jpg?resize=696%2C392&ssl=1,https://beninwebtv.com/benin-7-individus-presumes-membres-dun-reseau-de-vol-de-motos-arretes-a-ouidah/,Bénin,,beninwebtv,fr,,
