title,author_name,author_url,publication_date,description,category,image_url,url,countries,content_preview,source
Bénin : comment le putsch contre Patrice Talon devait être financé,,,26 sept. 2024,"Les autorités judiciaires ont précisé, le 25 septembre, les faits reprochés à Olivier Boko et Oswald Homeky. Arrêtés en début de semaine, les deux hommes qui gravitaient dans l’entourage de Patrice Talon sont soupçonnés d’avoir voulu le renverser en utilisant le commandant de la Garde républicaine.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/26/jad20240926-ass-benin-coup-dejoue-zones-ombres.jpg",https://www.jeuneafrique.com/1613864/politique/coup-detat-dejoue-au-benin-les-zones-dombre-de-laccusation/,benin,,jeuneafrique
"Bénin : Olivier Boko, les sacs de billets et les accusations de complot contre Patrice Talon",,,25 sept. 2024,"Autrefois très proche du président, l’homme d’affaires est désormais détenu dans un lieu tenu secret. Interpellé en même temps que lui, l’ex-ministre Oswald Homeky est accusé « d’atteinte à la sûreté de l’État ». Il aurait agi pour le compte de Boko, selon la justice.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/25/jad20240925-ass-benin-affaire-boko.jpg",https://www.jeuneafrique.com/1613568/politique/benin-olivier-boko-les-sacs-de-billets-et-les-accusations-de-complot-contre-patrice-talon/,benin,,jeuneafrique
"La Loterie nationale du Bénin à la BRVM, une cotation inédite en Afrique francophone",,,24 sept. 2024,"La société publique béninoise amorce son introduction à la Bourse régionale des valeurs mobilières d’Abidjan, une première pour une entreprise du secteur des jeux d’argent.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.4032x0.6098/https://prod.cdn-medias.jeuneafrique.com/medias/2016/08/18/4084hr_.jpg",https://www.jeuneafrique.com/1612399/economie-entreprises/la-loterie-nationale-du-benin-a-la-brvm-une-cotation-inedite-en-afrique-francophone/,benin,,jeuneafrique
"Au Bénin, Olivier Boko, pilier du régime Talon, a été arrêté",,,24 sept. 2024,"L’homme d’affaires a été interpellé par des éléments de la brigade criminelle. Il était un ami intime du chef de l’État béninois, qu’il côtoyait depuis plus de vingt ans.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/24/jad-20240924-ass-benin-politique-boko.jpg",https://www.jeuneafrique.com/1612714/politique/au-benin-olivier-boko-pilier-du-regime-talon-a-ete-arrete/,benin,,jeuneafrique
"Mati Diop : « Avec “Dahomey”, je voulais m’interroger sur le taux de “colonialité” dans l’air »",,,14 sept. 2024,"La réalisatrice franco-sénégalaise a suivi le rapatriement des vingt-six trésors royaux du Dahomey, du Quai Branly, à Paris, à leur terre d’origine, au Bénin. Dans ce documentaire en forme de fable métaphysique, sorti en France le 11 septembre, elle redonne vie à ces œuvres longtemps restées en sommeil.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.4003x0.3534/https://prod.cdn-medias.jeuneafrique.com/medias/2024/08/12/jad20240812-cm-itv-matidiop.jpg",https://www.jeuneafrique.com/1589862/culture/mati-diop-avec-dahomey-je-voulais-minterroger-sur-le-taux-de-colonialite-dans-lair/,benin,,jeuneafrique
Deux des ravisseurs de Steve Amoussou écopent d’un an de prison ferme au Bénin,,,4 sept. 2024,"Reconnus coupables de l’arrestation illégale de Steve Amoussou, un coach de MMA et le manager de l’artiste Vano Baby ont été condamnés à un an de prison ferme par la justice béninoise. « L’opposant sans peur » à Patrice Talon demeure cependant incarcéré au Bénin dans l’attente de l’ouverture de son procès pour « provocation directe à la rébellion ».",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5082x0.3297/https://prod.cdn-medias.jeuneafrique.com/medias/2024/08/26/jad20240826-ass-togo-benin-frere-hounvi.jpg",https://www.jeuneafrique.com/1604974/politique/deux-des-ravisseurs-de-steve-amoussou-ecopent-dun-an-de-prison-ferme-au-benin/,benin,,jeuneafrique
Quand l’affaire Steve Amoussou contrarie les autorités togolaises,,,26 août 2024,"À Lomé, des mandats d’arrêt ont été émis contre quatre individus accusés d’avoir enlevé et ramené de force au Bénin l’activiste béninois Steve Amoussou, plus connu sous le nom de « Frère Hounvi ».",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5082x0.3297/https://prod.cdn-medias.jeuneafrique.com/medias/2024/08/26/jad20240826-ass-togo-benin-frere-hounvi.jpg",https://www.jeuneafrique.com/1602034/politique/quand-laffaire-steve-amoussou-contrarie-les-autorites-togolaises/,benin,,jeuneafrique
"Au Bénin, « l’opposant sans peur » à Patrice Talon emprisonné",,,21 août 2024,"Connu sous le nom de « Frère Hounvi » sur les réseaux, Steve Amoussou a été arrêté au Togo, où il vivait depuis plusieurs années. Son procès devrait s’ouvrir le 7 octobre.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/05/31/afp__20240523__34tq7c7__v1__highres__brazilbenindiplomacyluladasilvatalon.jpg",https://www.jeuneafrique.com/1600622/politique/au-benin-lopposant-sans-peur-a-patrice-talon-emprisonne/,benin,,jeuneafrique
"Au Niger, Abdourahamane Tiani et la stratégie assumée de l’« anti-France »",,,13 août 2024,"Tandis que le Niger et le Bénin tentent d’amorcer un dégel diplomatique, Niamey accuse les services secrets français de former et d’armer des jihadistes. Une manœuvre pour forcer Cotonou à prendre ses distances avec Paris ?",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/08/09/jad20240808-ass-niger-strategie-anti-france.jpg",https://www.jeuneafrique.com/1598502/politique/au-niger-abdourahamane-tiani-et-la-strategie-assumee-de-lanti-france/,benin,,jeuneafrique
Le Bénin tend la main aux afro-descendants avec sa nouvelle loi sur la naturalisation,,,9 août 2024,"Cette loi, votée par le Parlement le 30 juillet à l’initiative du gouvernement, se veut une réponse aux difficultés de « quête d’identité à laquelle sont confrontés les afro-descendants ».",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5887x0.2236/https://prod.cdn-medias.jeuneafrique.com/medias/2023/12/18/jad20231218-culture-benin-itw-patrice-talon.jpg",https://www.jeuneafrique.com/1597258/politique/le-benin-tend-la-main-aux-afro-descendants-avec-sa-nouvelle-loi-sur-la-naturalisation/,benin,,jeuneafrique
