title,author_name,author_url,publication_date,description,category,image_url,url,country,content_preview,extractor,lang,content,source
Benin : Cotonou calls on APCO Worldwide to promote its interests in Washington,,,1728542050,The US public relations firm will be promoting Benin's economic development.,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","https://www.africaintelligence.com/west-africa/2024/10/10/cotonou-calls-on-apco-worldwide-to-promote-its-interests-in-washington,110315771-bre&ved=2ahUKEwiVhMT7i4OJAxUs8MkDHfqhMQoQxfQBegQIBRAC&usg=AOvVaw05-b2FHVXCQIsjyFJqGE0y",Benin,,google_news,en,,Africa Intelligence
"Benin vs Rwanda Prediction, Betting Tips & Odds | 11 OCTOBER, 2024",,,1728527772,"On Friday, Benin Republic will face off against Rwanda at the Stade Felix Houphouet Boigny Stadium. The hosts will be keen to pick up their first AFCON...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.telecomasia.net/sports-betting/tips/football/benin-vs-rwanda-prediction-betting-tips-odds-11-october-2024/&ved=2ahUKEwiVhMT7i4OJAxUs8MkDHfqhMQoQxfQBegQICRAC&usg=AOvVaw2TpLM58I0xTCOyLRhiD7in,Benin,,google_news,en,,Telecom Asia Sport
AFCON 2025 Qualifiers: What can Amavubi do to beat Benin in Abidjan?| The New Times,,,1728516972,Head coach Torsten gives instructions to the players during their first training session in Ivory coast ahead of their clash against Benin at Felix...,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.newtimes.co.rw/article/20792/sports/football/afcon-2025-qualifiers-what-can-amavubi-do-to-beat-benin-in-abidjan&ved=2ahUKEwiVhMT7i4OJAxUs8MkDHfqhMQoQxfQBegQIBxAC&usg=AOvVaw2Bq3mrQPLiWft6vY6OhKZe,Benin,,google_news,en,,The New Times
"Preview: Benin vs. Rwanda - prediction, team news, lineups",,,1728516972,"Sports Mole previews Friday's Africa Cup of Nations Qualifying clash between Benin and Rwanda, including predictions, team news and possible lineups.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.sportsmole.co.uk/football/benin/africa-cup-of-nations/preview/preview-benin-vs-rwanda-prediction-team-news-lineups_555084.html&ved=2ahUKEwiVhMT7i4OJAxUs8MkDHfqhMQoQxfQBegQICBAC&usg=AOvVaw09VBEsNzE6Olaucx6p-0OH,Benin,,google_news,en,,Sports Mole
Nigerian Navy repairs Benin Republic ship to strengthen bilateral relations,,,1728513372,"The Nigerian Naval Dockyard Ltd. (NDL) says it has repaired, refurbished, and handed over a ship belonging to the Benin Republic...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://headtopics.com/ng/nigerian-navy-repairs-benin-republic-ship-to-strengthen-60094626&ved=2ahUKEwiVhMT7i4OJAxUs8MkDHfqhMQoQxfQBegQIARAC&usg=AOvVaw3f3_3fHVla5vxrF9WnmOlt,Benin,,google_news,en,,Head Topics
Signing of Contracts with Technical Staff of National Technical Departments - 24 HOURS IN BENIN,,,1728513372,"The Ministry of Sports, under the leadership of Benoît DATO, has taken a decisive step in the structuring of national sports as of Tuesday, October 8,...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.footboom1.com/en/news/football/1912115-signing-of-contracts-with-technical-staff-of-national-technical-departments-24-hours-in-benin&ved=2ahUKEwiVhMT7i4OJAxUs8MkDHfqhMQoQxfQBegQIABAC&usg=AOvVaw1CPawFfgVUBPNG4KzSiLwc,Benin,,google_news,en,,FootBoom
Nigerian Navy repairs Benin Republic ship to strengthen bilateral relations,,,1728513372,"The Nigerian Naval Dockyard Ltd. (NDL) says it has repaired, refurbished, and handed over a ship belonging to the Benin Republic...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.thecable.ng/nigerian-navy-repairs-benin-republic-ship-to-strengthen-bilateral-relations/&ved=2ahUKEwiVhMT7i4OJAxUs8MkDHfqhMQoQxfQBegQIBhAC&usg=AOvVaw3f03HQM9GkEPaSTi6IisQu,Benin,,google_news,en,,TheCable
Benin vs Rwanda Prediction and Betting Tips | October 11th 2024,,,1728509772,Benin and Rwanda will battle for three points in a 2025 Africa Cup of Nations qualifier on Friday.,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.sportskeeda.com/football/benin-vs-rwanda-prediction-betting-tips-october-11th-2024&ved=2ahUKEwiVhMT7i4OJAxUs8MkDHfqhMQoQxfQBegQIAhAC&usg=AOvVaw1d24wKUyb9D8Sa_Z492cpS,Benin,,google_news,en,,Sportskeeda
"Benin vs Rwanda – Preview, Prediction And Betting Tips 11/10/2024",,,1728542172,"Benin will host Rwanda for Cup of Nations Qualification Round 3. Date: 11/10/2024 Time:16:00 Venue: Stade Félix Houphouеt-Boigny ,Abidjan.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://ghanasoccernet.com/bookmaker-ratings/tips/benin-vs-rwanda-preview-prediction-and-betting-tips-11-10-2024/&ved=2ahUKEwiVhMT7i4OJAxUs8MkDHfqhMQoQxfQBegQIBBAC&usg=AOvVaw0JJ8XFYNx4CxFgNfihnMAT,Benin,,google_news,en,,GhanaSoccernet
"Nigerian Navy helps Benin Republic repair ship, vows to strengthen collaboration",,,1728538572,"The repairs were divided into two phases of three ships each with Phase 1 comprising BNS PENDJARI, BNS COUFFO and BNS MBK. Nigerian Navy helps Benin...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.pulse.ng/news/local/nigerian-navy-helps-benin-republic-repair-ship-vows-more-collaboration/qck4gr3&ved=2ahUKEwiVhMT7i4OJAxUs8MkDHfqhMQoQxfQBegQIAxAC&usg=AOvVaw3zpxSZyb4rlcKi9I7mUv-4,Benin,,google_news,en,,Pulse Nigeria
