title,author_name,author_url,publication_date,description,category,image_url,url,countries,content_preview,source,lang,content,source_name
Ogun commences palliative work on failed section of Sagamu-Ore-Benin Expressway — News,,,1727846401,"Concerned about its deplorable condition and the hardship its users endure daily, the Ogun State government has commenced.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://guardian.ng/news/ogun-commences-palliative-work-on-failed-section-of-sagamu-ore-benin-expressway/&ved=2ahUKEwjop8a2-e6IAxUWNjQIHW_gLSUQxfQBegQIBBAC&usg=AOvVaw1yWumKd89R327pR96Ahqqr,,,google_news,en,From Google News,The Guardian Nigeria News
"Protesters In Benin, Osogbo, Akure Ask Tinubu To Reverse Harsh Policies",,,1727846401,"Police, Suspected Miscreants Disperse Protesters In Rivers. Protesters in Edo, Ondo, and Osun on Tuesday asked President Bola Tinubu to reverse his...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://independent.ng/protesters-in-benin-osogbo-akure-ask-tinubu-to-reverse-harsh-policies/&ved=2ahUKEwjop8a2-e6IAxUWNjQIHW_gLSUQxfQBegQICRAC&usg=AOvVaw3W-tGU-QW39EYi3MrPOG-A,,,google_news,en,From Google News,Independent Newspaper Nigeria
Two Men Close To Benin's President Jailed After Alleged Coup Plot,,,1727839201,Two prominent Benin men linked to the country's president and arrested last week on suspicion of planning a coup have been remanded into custody pending...,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.barrons.com/news/two-men-close-to-benin-s-president-jailed-after-alleged-coup-plot-10f7fc27&ved=2ahUKEwjop8a2-e6IAxUWNjQIHW_gLSUQxfQBegQIBhAC&usg=AOvVaw1Ea4xtVGRG49G55lfnMfjy,,,google_news,en,From Google News,Barron's
HOSPITALITY: Millennium Heights Hotel And Suites Opens In Benin City,,,1727850001,HOSPITALITY: Millennium Heights Hotel And Suites Opens In Benin City www.itvradiong.com/live www.youtube.com/itvradiong www.facebook.com/itvradiong...,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.youtube.com/watch%3Fv%3DreDuRZpBJ7Y&ved=2ahUKEwjop8a2-e6IAxUWNjQIHW_gLSUQxfQBegQICBAC&usg=AOvVaw0PPGZngOmLQ3XPwQoDUmfU,,,google_news,en,From Google News,YouTube
FEARLESS IN OCTOBER: Secluded Protest Held In Benin City,,,1727846401,The planned October 1 protest tagged #FearlessInOctober did not record massive participation in Benin City. Favour osaro who monitored various parts of the...,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.youtube.com/watch%3Fv%3D9K9faSA3FuQ&ved=2ahUKEwjop8a2-e6IAxUWNjQIHW_gLSUQxfQBegQIBxAC&usg=AOvVaw1eGIVtATjNdPCtRvgW59h4,,,google_news,en,From Google News,YouTube
Streets deserted as group protest against bad governance in Benin,,,1727835601,"By Ozioruva Aliu. BENIN CITY – MOST streets in Benin City, Edo State capital were deserted on Tuesday as a group, the Coalition of Civil Society...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.vanguardngr.com/2024/10/streets-deserted-as-group-protest-against-bad-governance-in-benin/&ved=2ahUKEwjop8a2-e6IAxUWNjQIHW_gLSUQxfQBegQIAxAC&usg=AOvVaw0X0g7lrXFaZToFqlc-DR8r,,,google_news,en,From Google News,Vanguard News
African Development Fund Crucial in Development and Modernisation of Benin Sheep Industry,,,1727835601,"In the early 2000s, Benin reformed its sheep industry, largely because meat and milk production was insufficient to meet local demand.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://allafrica.com/stories/202410010468.html&ved=2ahUKEwjop8a2-e6IAxUWNjQIHW_gLSUQxfQBegQIBRAC&usg=AOvVaw2IvD3V2R8u1fJJX68Jz_gm,,,google_news,en,From Google News,allAfrica.com
Ogun begins palliative work on failed portions of Sagamu-Ore-Benin Expressway,,,1727839201,"Ogun State Government has begun reconstruction of the failed portions of Sagamu-Ore-Benin Expressway, near Sagamu, to address traffic logjam being...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://thenationonlineng.net/ogun-begins-palliative-work-on-failed-portions-of-sagamu-ore-benin-expressway/&ved=2ahUKEwjop8a2-e6IAxUWNjQIHW_gLSUQxfQBegQIAhAC&usg=AOvVaw3Z5Esn7EaAJCM-INCngO06,,,google_news,en,From Google News,The Nation Newspaper
"Power: Nigeria Earns $50.36m From Niger, Benin, Togo",,,1727763601,"The Nigerian Electricity Regulatory Commission (NERC) has said that international bilateral customers such as Benin, Togo and Niger paid a total of $50.36...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://newtelegraphng.com/power-nigeria-earns-50-36m-from-niger-benin-togo/&ved=2ahUKEwjop8a2-e6IAxUWNjQIHW_gLSUQxfQBegQIABAC&usg=AOvVaw3av_R5jE-ySjFw_zC6ShWF,,,google_news,en,From Google News,New Telegraph
"Oba of Benin visits Borno, advocate policies to safe guard environment",,,1727763601,"The Oba of Benin, HRM, Oba Ewuare II, has sympathised with displaced person's, including those who lost thier lives in Maiduguri flood disaster,...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://blueprint.ng/oba-of-benin-visits-borno-advocate-policies-to-safe-guard-environment/&ved=2ahUKEwjop8a2-e6IAxUWNjQIHW_gLSUQxfQBegQIARAC&usg=AOvVaw2dQNz9i6TmoL0fJ0K2R2wt,,,google_news,en,From Google News,Blueprint Newspapers Limited
The climate crisis reaches Morocco: 1 in 3 jobs are at risk,,,1727846402,The climate crisis is a reality and the consequences of the acceleration of climate change in Morocco are beginning to show their first repercussions.,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.atalayar.com/en/articulo/economy-and-business/the-climate-crisis-reaches-morocco-1-in-3-jobs-are-at-risk/20241002061000205803.html&ved=2ahUKEwj06oy4-e6IAxWqIDQIHcMsC1kQxfQBegQIARAC&usg=AOvVaw2PDDFW7Ka9fIHKEbDImW3s,,,google_news,en,From Google News,Atalayar
Liberia Signs Morocco’s Roadmap of Cooperation for 2024-2026,,,1727846402,"Liberia's Minister of Foreign Affairs, Sara Beysolow Nyanti on September 24, 2024, along with Sierra Leone, Ivory Coast, and Guinea held strategic...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.liberianobserver.com/news/development/liberia-signs-morocco-s-roadmap-of-cooperation-for-2024-2026/article_9541b44e-8073-11ef-bbe2-dbcfedfbbe10.html&ved=2ahUKEwj06oy4-e6IAxWqIDQIHcMsC1kQxfQBegQICRAC&usg=AOvVaw048AqwBqP8Fi1uslsSfFE-,,,google_news,en,From Google News,liberianobserver.com
2025 AFCON Qualifiers: Otto Addo aims to shoot down Kwesi Appiah's hopes of taking Sudan to Morocco,,,1727839202,"Head coach of the Black Stars, Otto Addo is preparing for a tactical battle with Sudan's James Kwesi Appiah.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.ghanaweb.com/GhanaHomePage/SportsArchive/2025-AFCON-Qualifiers-Otto-Addo-aims-to-shoot-down-Kwesi-Appiah-s-hopes-of-taking-Sudan-to-Morocco-1953444&ved=2ahUKEwj06oy4-e6IAxWqIDQIHcMsC1kQxfQBegQIABAC&usg=AOvVaw11aSvduNaSWDyRtxmuOCOc,,,google_news,en,From Google News,GhanaWeb
"Morocco, UK Discuss Boosting Defense Cooperation and Regional Security",,,1727821202,"Abdeltif Loudyi, Minister Delegate in charge of the National Defense Administration, met today with Vice Admiral Edward Ahlgren, British Senior Military...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.moroccoworldnews.com/2024/10/365512/morocco-uk-discuss-boosting-defense-cooperation-and-regional-security&ved=2ahUKEwj06oy4-e6IAxWqIDQIHcMsC1kQxfQBegQICBAC&usg=AOvVaw3Dn0CcUi3FnCxTjnoZKWgr,,,google_news,en,From Google News,Morocco World News
Joint Operation at El Guergarat Border Crossing Seizes 37 Kg of Cocaine,,,1727821202,A joint operation by elements of the National Security and Customs working at the El Guergarat border crossing south of the city of Dakhla thwarted on...,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.moroccoworldnews.com/2024/10/365511/joint-operation-at-el-guergarat-border-crossing-seizes-37-kg-of-cocaine&ved=2ahUKEwj06oy4-e6IAxWqIDQIHcMsC1kQxfQBegQIBRAC&usg=AOvVaw2BX9AmX-F7DAVyb-LLTrpw,,,google_news,en,From Google News,Morocco World News
QREC delegation participates at Salon du Cheval in Morocco| Gulf Times,,,1727821202,"Under the patronage of King Mohammed VI of Morocco, Prince Moulay Rashid officially inaugurated the 15th edition of the Salon du Cheval at the Mohammed VI...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.gulf-times.com/article/691772/sports/qrec-delegation-participates-at-salon-du-cheval-in-morocco&ved=2ahUKEwj06oy4-e6IAxWqIDQIHcMsC1kQxfQBegQIBxAC&usg=AOvVaw1gKBMDEScLVl5lJG-pS38S,,,google_news,en,From Google News,Gulf Times
"US, Morocco Aim to Strengthen Cooperation to Jointly Address Challenges",,,1727821202,"During a meeting in Washington today, U.S. Secretary of State Antony Blinken and Moroccan Foreign Minister Nasser Bourita reaffirmed the importance of the...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.moroccoworldnews.com/2024/10/365510/us-morocco-aim-to-strengthen-cooperation-to-jointly-address-challenges&ved=2ahUKEwj06oy4-e6IAxWqIDQIHcMsC1kQxfQBegQIBhAC&usg=AOvVaw0RSuvSTuL3GkMvXXo5p2Al,,,google_news,en,From Google News,Morocco World News
Looking for Taylor Swift's famous red lipstick? Her makeup artist confirms the brand,,,1727850002,"Lorrie Turk, Taylor Swift's longtime makeup artist, confirmed which lipstick brand the singer has used for years.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.usatoday.com/story/entertainment/music/2024/10/01/taylor-swift-red-lipstick-brand-nars-morocco/75470392007/&ved=2ahUKEwj06oy4-e6IAxWqIDQIHcMsC1kQxfQBegQIAhAC&usg=AOvVaw3oJV1Kr_SUwpVIXm1gdPfx,,,google_news,en,From Google News,USA Today
Taylor Swift is swapping her red lipstick for this cinnamon shade — and it’s on sale right now,,,1727850002,"While red lipstick has long been her signature, Taylor Swift wore Nars Morocco — a warm cinnamon shade — at the 2024 VMAs and at a recent Chiefs game.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://pagesix.com/2024/10/01/style/taylor-swift-is-swapping-her-red-lipstick-for-nars-morocco-shade/&ved=2ahUKEwj06oy4-e6IAxWqIDQIHcMsC1kQxfQBegQIAxAC&usg=AOvVaw3a6UYDwE8olMcx7jlcvzzs,,,google_news,en,From Google News,Page Six
"Moody’s: Moroccan Economy Remains Stable, Resilient Despite Challenges",,,1727850002,"Moody's Investors Service affirmed in their report on Friday Morocco's Ba1 long-term issuer and senior unsecured debt ratings, maintaining a stable outlook...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.moroccoworldnews.com/2024/10/365508/moodys-moroccan-economy-remains-stable-resilient-despite-challenges&ved=2ahUKEwj06oy4-e6IAxWqIDQIHcMsC1kQxfQBegQIBBAC&usg=AOvVaw2vsEB2QrMRUYZefWfoWFKV,,,google_news,en,From Google News,Morocco World News
